province,year,medical_staff
Gansu,2020,18.12
Gansu,2019,17.88
Gansu,2018,15.73
Gansu,2017,14.69
Gansu,2016,13.46
Qinghai,2024,6.15
Qinghai,2023,5.8
Qinghai,2022,5.21
Qinghai,2021,5.17
Qinghai,2020,4.89
Qinghai,2019,4.74
Qinghai,2018,4.46
Qinghai,2017,4.17
Qinghai,2016,3.7
Ningxia,2024,6.8
Ningxia,2023,6.57
Ningxia,2022,6.18
Ningxia,2021,6.06
Ningxia,2020,5.86
Ningxia,2019,5.54
Ningxia,2018,5.31
Ningxia,2017,4.97
Ningxia,2016,4.47
Xinjiang,2024,25.03
Xinjiang,2023,23.57
Xinjiang,2022,20.81
Xinjiang,2021,20.03
Xinjiang,2020,19.09
Xinjiang,2019,18.59
Xinjiang,2018,17.64
Xinjiang,2017,17.41
Xinjiang,2016,17.1
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2024,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2023,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2022,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2021,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2020,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2019,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2018,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2017,NA
Note:Data of medical personnel and medical technical personnel include 10 000 persons of sanitation supervisors in public servants.,2016,NA
