province,year,population
Shaanxi,2022,3956
Shaanxi,2021,3954
Shaanxi,2020,3955
Shaanxi,2019,3944
Shaanxi,2018,3931
Shaanxi,2017,3904
Shaanxi,2016,3874
Gansu,2024,2458
Gansu,2023,2465
Gansu,2022,2492
Gansu,2021,2490
Gansu,2020,2501
Gansu,2019,2509
Gansu,2018,2515
Gansu,2017,2522
Gansu,2016,2520
Qinghai,2024,593
Qinghai,2023,594
Qinghai,2022,595
Qinghai,2021,594
Qinghai,2020,593
Qinghai,2019,590
Qinghai,2018,587
Qinghai,2017,586
Qinghai,2016,582
Ningxia,2024,729
Ningxia,2023,729
Ningxia,2022,728
Ningxia,2021,725
Ningxia,2020,721
Ningxia,2019,717
Ningxia,2018,710
Ningxia,2017,705
Ningxia,2016,695
Xinjiang,2024,2623
Xinjiang,2023,2598
Xinjiang,2022,2587
Xinjiang,2021,2589
Xinjiang,2020,2590
Xinjiang,2019,2559
Xinjiang,2018,2520
Xinjiang,2017,2480
Xinjiang,2016,2428
