province,year,student_teacher_jun_ratio
Gansu,2020,10.76
Gansu,2019,10.88
Gansu,2018,10.88
Gansu,2017,10.57
Gansu,2016,10.64
Qinghai,2024,14.29
Qinghai,2023,13.81
Qinghai,2022,13.61
Qinghai,2021,13.09
Qinghai,2020,13.34
Qinghai,2019,13.49
Qinghai,2018,13.62
Qinghai,2017,12.8
Qinghai,2016,12.86
Ningxia,2024,13.84
Ningxia,2023,13.5
Ningxia,2022,13.25
Ningxia,2021,13.6
Ningxia,2020,14.15
Ningxia,2019,14.46
Ningxia,2018,14.19
Ningxia,2017,13.84
Ningxia,2016,13.92
Xinjiang,2024,13.94
Xinjiang,2023,13.53
Xinjiang,2022,13.19
Xinjiang,2021,12.45
Xinjiang,2020,11.61
Xinjiang,2019,10.96
Xinjiang,2018,10.75
Xinjiang,2017,10.49
Xinjiang,2016,10.54
