province,year,grp_per_capita
Shaanxi,2023,85929
Shaanxi,2022,83529
Shaanxi,2021,77068
Shaanxi,2020,66583
Shaanxi,2019,66577
Shaanxi,2018,62169
Shaanxi,2017,55994
Shaanxi,2016,50142
Gansu,2024,52825
Gansu,2023,49811
Gansu,2022,46381
Gansu,2021,42508
Gansu,2020,37218
Gansu,2019,36040
Gansu,2018,33213
Gansu,2017,30316
Gansu,2016,28583
Qinghai,2024,66568
Qinghai,2023,64747
Qinghai,2022,61857
Qinghai,2021,58067
Qinghai,2020,52081
Qinghai,2019,51321
Qinghai,2018,47739
Qinghai,2017,43099
Qinghai,2016,39874
Ningxia,2024,75484
Ningxia,2023,73696
Ningxia,2022,71137
Ningxia,2021,64543
Ningxia,2020,56136
Ningxia,2019,53841
Ningxia,2018,50610
Ningxia,2017,46737
Ningxia,2016,41382
Xinjiang,2024,78660
Xinjiang,2023,75616
Xinjiang,2022,71679
Xinjiang,2021,64845
Xinjiang,2020,55398
Xinjiang,2019,55227
Xinjiang,2018,52441
Xinjiang,2017,46703
Xinjiang,2016,41196
