province,year,nov
Gansu,2019,1.2
Gansu,2018,1.23
Gansu,2017,1.26
Gansu,2016,1.22
Qinghai,2024,0.28
Qinghai,2023,0.27
Qinghai,2022,0.22
Qinghai,2021,0.25
Qinghai,2020,0.23
Qinghai,2019,0.25
Qinghai,2018,0.24
Qinghai,2017,0.23
Qinghai,2016,0.22
Ningxia,2024,0.55
Ningxia,2023,0.49
Ningxia,2022,0.39
Ningxia,2021,0.39
Ningxia,2020,0.38
Ningxia,2019,0.42
Ningxia,2018,0.4
Ningxia,2017,0.39
Ningxia,2016,0.37
Xinjiang,2024,1.48
Xinjiang,2023,1.3
Xinjiang,2022,0.87
Xinjiang,2021,0.97
Xinjiang,2020,0.99
Xinjiang,2019,1.13
Xinjiang,2018,1.02
Xinjiang,2017,1.07
Xinjiang,2016,1.04
