province,year,beds
Gansu,2019,18.12
Gansu,2018,16.27
Gansu,2017,14.66
Gansu,2016,13.43
Qinghai,2024,4.78
Qinghai,2023,4.57
Qinghai,2022,4.29
Qinghai,2021,4.22
Qinghai,2020,4.13
Qinghai,2019,4.14
Qinghai,2018,3.91
Qinghai,2017,3.83
Qinghai,2016,3.47
Ningxia,2024,4.43
Ningxia,2023,4.35
Ningxia,2022,4.18
Ningxia,2021,4.12
Ningxia,2020,4.13
Ningxia,2019,4.1
Ningxia,2018,4.1
Ningxia,2017,3.98
Ningxia,2016,3.63
Xinjiang,2024,20.22
Xinjiang,2023,19.75
Xinjiang,2022,17.96
Xinjiang,2021,18.61
Xinjiang,2020,18.15
Xinjiang,2019,18.64
Xinjiang,2018,17.89
Xinjiang,2017,16.76
Xinjiang,2016,15.69
