province,year,student_teacher_pri_ratio
Gansu,2020,13.32
Gansu,2019,13.08
Gansu,2018,13.24
Gansu,2017,13.07
Gansu,2016,12.91
Qinghai,2024,17.24
Qinghai,2023,17.37
Qinghai,2022,17.4
Qinghai,2021,17.26
Qinghai,2020,17.63
Qinghai,2019,17.6
Qinghai,2018,17.68
Qinghai,2017,17.02
Qinghai,2016,17.34
Ningxia,2024,17.34
Ningxia,2023,17.32
Ningxia,2022,16.97
Ningxia,2021,17.25
Ningxia,2020,17.52
Ningxia,2019,17.04
Ningxia,2018,16.86
Ningxia,2017,16.98
Ningxia,2016,17.09
Xinjiang,2024,17.44
Xinjiang,2023,17.7
Xinjiang,2022,17.66
Xinjiang,2021,17.24
Xinjiang,2020,16.34
Xinjiang,2019,15.57
Xinjiang,2018,15.3
Xinjiang,2017,14.91
Xinjiang,2016,14.75
